FID_fvcomGrid_XYTableToPoint,lat,lng,node,TP_2018ltJuly1
390,44.01671219,-76.2723999,390,
391,43.33554459,-79.75964355,391,
392,43.33761597,-79.75714111,392,
393,43.33990479,-79.75857544,393,
394,43.34209442,-79.76013184,394,
395,43.34601212,-79.75991821,395,
396,43.34777451,-79.75796509,396,
397,43.34950256,-79.756073,397,
398,43.35132217,-79.75445557,398,
399,43.34404373,-79.75823975,399,
400,43.33301544,-79.75860596,400,7.745527744
401,43.33019257,-79.7578125,401,7.23390913
402,43.32705688,-79.75741577,402,7.23390913
403,43.32377625,-79.75723267,403,7.23390913
404,43.32040405,-79.75726318,404,7.008723736
405,43.308918,-79.76617432,405,6.879521847
406,43.31206894,-79.76379395,406,6.879521847
407,43.31542587,-79.76217651,407,6.879521847
408,43.31679535,-79.75793457,408,7.008723736
409,43.30630493,-79.76400757,409,6.879521847
410,43.30300522,-79.76193237,410,6.600665092
411,43.29923248,-79.76046753,411,6.600665092
412,43.29516983,-79.75912476,412,6.600665092
413,43.29109955,-79.75842285,413,6.238451004
414,43.28741074,-79.75900269,414,5.979301929
415,43.2840538,-79.76062012,415,5.979301929
416,43.2805481,-79.76235962,416,5.836182117
417,43.27659607,-79.76382446,417,5.836182117
418,43.27233887,-79.76525879,418,5.836182117
419,43.26910782,-79.76168823,419,5.836182117
420,43.26099396,-79.75964355,420,5.802020073
421,43.26570892,-79.75790405,421,5.802020073
422,43.25751495,-79.75579834,422,5.802020073
423,43.25421143,-79.75167847,423,5.901646137
424,43.25128174,-79.74819946,424,5.901646137
425,43.24715042,-79.74795532,425,5.901646137
426,44.03827286,-76.27407837,426,
427,44.04026031,-76.27267456,427,
428,44.04228592,-76.27130127,428,5.909627438
429,44.04394913,-76.26922607,429,5.909627438
430,44.03643417,-76.27282715,430,
431,44.03050613,-76.27279663,431,6.054339409
432,44.03268051,-76.27197266,432,6.054339409
433,44.03462219,-76.27148438,433,
434,44.0287323,-76.27056885,434,6.054339409
435,44.02666855,-76.26876831,435,5.983382702
436,44.02418137,-76.26974487,436,6.054339409
437,44.02164078,-76.27023315,437,6.054339409
438,44.01953125,-76.27001953,438,6.054339409
439,44.01756668,-76.26950073,439,
440,43.3523941,-79.75183105,440,
441,43.33512497,-79.75579834,441,7.745527744
442,43.33740616,-79.75320435,442,
443,43.33981323,-79.75482178,443,
444,43.34199524,-79.75653076,444,
445,43.3459549,-79.75619507,445,
446,43.34787369,-79.75430298,446,
447,43.3499527,-79.7527771,447,
448,43.34407806,-79.75442505,448,
449,43.35085297,-79.74990845,449,
450,43.33232117,-79.75473022,450,7.745527744
451,43.3291626,-79.7539978,451,7.745527744
452,43.32582092,-79.753479,452,7.745527744
453,43.32233429,-79.75323486,453,7.008723736
454,43.31853104,-79.75366211,454,7.008723736
455,43.30937576,-79.76132202,455,6.879521847
456,43.3129158,-79.75924683,456,7.008723736
457,43.31435013,-79.75488281,457,7.008723736
458,43.3059845,-79.75915527,458,6.600665092
459,43.30187607,-79.75732422,459,6.600665092
460,43.29763412,-79.75576782,460,6.600665092
461,43.29320526,-79.75442505,461,6.238451004
462,43.28881836,-79.75384521,462,6.238451004
463,43.28488922,-79.75463867,463,6.238451004
464,43.28135681,-79.75650024,464,5.836182117
465,43.27767944,-79.75845337,465,5.836182117
466,43.27353668,-79.76010132,466,5.836182117
467,43.27030563,-79.75622559,467,5.836182117
468,43.26222229,-79.75396729,468,5.861537933
469,43.26690674,-79.75228882,469,5.861537933
470,43.25875092,-79.74969482,470,5.861537933
471,43.25522614,-79.74487305,471,6.031936646
472,43.25039673,-79.74285889,472,6.031936646
473,43.2455864,-79.74243164,473,
474,44.0681572,-76.14230347,474,
475,44.06647873,-76.14242554,475,
476,44.06960678,-76.14468384,476,
477,44.07027054,-76.14767456,477,
478,44.05163956,-76.26342773,478,
479,44.04981995,-76.26525879,479,
480,44.0480957,-76.26565552,480,5.909627438
481,44.04556656,-76.26708984,481,5.909627438
482,44.03828049,-76.27105713,482,5.909627438
483,44.04025269,-76.26947021,483,5.909627438
484,44.04209137,-76.2677002,484,5.909627438
485,44.04387665,-76.26568604,485,5.909627438
486,44.03615189,-76.26965332,486,5.909627438
487,44.03107071,-76.26959229,487,5.983382702
488,44.03363419,-76.26861572,488,5.909627438
489,44.02904892,-76.2671814,489,5.983382702
490,44.02671051,-76.2661438,490,5.983382702
491,44.02460861,-76.26672363,491,5.983382702
492,44.02241135,-76.26708984,492,5.983382702
493,44.02033234,-76.26699829,493,5.983382702
494,44.01844025,-76.26663208,494,
495,43.35342407,-79.74917603,495,
496,43.35546494,-79.74783325,496,
497,43.3568573,-79.7460022,497,
498,43.33464813,-79.75180054,498,7.745527744
499,43.33714294,-79.74902344,499,7.745527744
500,43.33977127,-79.75064087,500,
501,43.34202957,-79.75253296,501,
502,43.34616852,-79.75219727,502,
503,43.34836197,-79.75067139,503,
504,43.34427643,-79.75033569,504,
505,43.35190201,-79.74737549,505,
506,43.34946823,-79.74761963,506,
507,43.33148956,-79.75073242,507,7.745527744
508,43.24565125,-79.73623657,508,
509,43.32811737,-79.74984741,509,7.745527744
510,43.32456207,-79.74923706,510,7.40721941
511,43.32062912,-79.74935913,511,7.40721941
512,43.31635666,-79.75030518,512,7.008723736
513,43.30960083,-79.75616455,513,7.008723736
514,43.31201553,-79.75167847,514,7.008723736
515,43.30483246,-79.75439453,515,6.600665092
516,43.30031967,-79.75238037,516,6.600665092
517,43.29574585,-79.75076294,517,6.238451004
518,43.29096985,-79.74951172,518,6.238451004
519,43.28626633,-79.74908447,519,6.238451004
520,43.28211594,-79.75009155,520,6.070632935
521,43.27843475,-79.75219727,521,5.836182117
522,43.27461243,-79.75439453,522,5.836182117
523,43.2713623,-79.75030518,523,5.836182117
524,43.2634964,-79.74804688,524,5.861537933
525,43.26794434,-79.74630737,525,5.861537933
526,43.26025772,-79.74365234,526,5.861537933
527,43.25758743,-79.73937988,527,6.031936646
528,43.25369263,-79.73812866,528,6.031936646
529,43.24949265,-79.73696899,529,6.031936646
530,44.06707001,-76.14465332,530,
531,44.06465912,-76.14431763,531,
532,44.06785583,-76.14694214,532,
533,44.06842041,-76.14944458,533,
534,44.05331802,-76.26138306,534,
535,44.05484009,-76.25909424,535,
536,44.05166626,-76.25961304,536,
537,44.0498848,-76.26153564,537,
538,44.04797363,-76.26275635,538,5.909627438
539,44.04592133,-76.26403809,539,5.909627438
540,44.03810883,-76.26794434,540,5.909627438
